ID,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikanderpur,MG Road,IFFCO Chowk,Huda City Centre
11561,2:56pm,2:59pm,3:02pm,3:04pm,3:08pm,3:11pm,3:13pm,3:16pm,3:19pm,3:21pm
11562,2:59pm,3:02pm,3:05pm,3:07pm,3:11pm,3:14pm,3:16pm,3:19pm,3:21pm,3:24pm
11563,3:02pm,3:05pm,3:07pm,3:10pm,3:13pm,3:17pm,3:19pm,3:22pm,3:24pm,3:27pm
11564,3:05pm,3:07pm,3:10pm,3:13pm,3:16pm,3:20pm,3:22pm,3:24pm,3:27pm,3:29pm
11565,3:08pm,3:10pm,3:13pm,3:16pm,3:19pm,3:23pm,3:25pm,3:27pm,3:30pm,3:32pm
11566,3:11pm,3:13pm,3:16pm,3:19pm,3:22pm,3:26pm,3:28pm,3:30pm,3:33pm,3:35pm
11567,3:13pm,3:16pm,3:19pm,3:21pm,3:25pm,3:29pm,3:31pm,3:33pm,3:36pm,3:38pm
11568,3:16pm,3:19pm,3:22pm,3:24pm,3:28pm,3:31pm,3:34pm,3:36pm,3:39pm,3:41pm
11569,3:19pm,3:22pm,3:25pm,3:27pm,3:31pm,3:34pm,3:36pm,3:39pm,3:41pm,3:44pm
11570,3:22pm,3:25pm,3:28pm,3:30pm,3:34pm,3:37pm,3:39pm,3:42pm,3:44pm,3:47pm
11571,3:25pm,3:28pm,3:30pm,3:33pm,3:36pm,3:40pm,3:42pm,3:45pm,3:47pm,3:50pm
11572,3:28pm,3:30pm,3:33pm,3:36pm,3:39pm,3:43pm,3:45pm,3:47pm,3:50pm,3:52pm
11573,3:31pm,3:33pm,3:36pm,3:39pm,3:42pm,3:46pm,3:48pm,3:50pm,3:53pm,3:55pm
11574,3:34pm,3:36pm,3:39pm,3:41pm,3:45pm,3:49pm,3:51pm,3:53pm,3:56pm,3:58pm
11575,3:36pm,3:39pm,3:42pm,3:44pm,3:48pm,3:51pm,3:54pm,3:56pm,3:59pm,4:01pm
11576,3:39pm,3:42pm,3:45pm,3:47pm,3:51pm,3:54pm,3:56pm,3:59pm,4:02pm,4:04pm
11577,3:42pm,3:45pm,3:48pm,3:50pm,3:54pm,3:57pm,3:59pm,4:02pm,4:04pm,4:07pm
11578,3:45pm,3:48pm,3:50pm,3:53pm,3:56pm,4:00pm,4:02pm,4:05pm,4:07pm,4:10pm
11579,3:48pm,3:50pm,3:53pm,3:56pm,3:59pm,4:03pm,4:05pm,4:07pm,4:10pm,4:12pm
11580,3:51pm,3:53pm,3:56pm,3:59pm,4:02pm,4:06pm,4:08pm,4:10pm,4:13pm,4:15pm
11581,3:54pm,3:56pm,3:59pm,4:02pm,4:05pm,4:09pm,4:11pm,4:13pm,4:16pm,4:18pm
11582,3:56pm,3:59pm,4:02pm,4:04pm,4:08pm,4:12pm,4:14pm,4:16pm,4:19pm,4:21pm
11583,3:59pm,4:02pm,4:05pm,4:07pm,4:11pm,4:14pm,4:17pm,4:19pm,4:22pm,4:24pm
11584,4:02pm,4:05pm,4:08pm,4:10pm,4:14pm,4:17pm,4:19pm,4:22pm,4:24pm,4:27pm
11585,4:05pm,4:08pm,4:11pm,4:13pm,4:17pm,4:20pm,4:22pm,4:25pm,4:27pm,4:30pm
11586,4:08pm,4:11pm,4:13pm,4:16pm,4:19pm,4:23pm,4:25pm,4:28pm,4:30pm,4:33pm
11587,4:11pm,4:13pm,4:16pm,4:19pm,4:22pm,4:26pm,4:28pm,4:30pm,4:33pm,4:35pm
11588,4:14pm,4:16pm,4:19pm,4:22pm,4:25pm,4:29pm,4:31pm,4:33pm,4:36pm,4:38pm
11589,4:17pm,4:19pm,4:22pm,4:24pm,4:28pm,4:32pm,4:34pm,4:36pm,4:39pm,4:41pm
11590,4:19pm,4:22pm,4:25pm,4:27pm,4:31pm,4:34pm,4:37pm,4:39pm,4:42pm,4:44pm
11591,4:22pm,4:25pm,4:28pm,4:30pm,4:34pm,4:37pm,4:39pm,4:42pm,4:45pm,4:47pm
11592,4:25pm,4:28pm,4:31pm,4:33pm,4:37pm,4:40pm,4:42pm,4:45pm,4:47pm,4:50pm
11593,4:28pm,4:31pm,4:33pm,4:36pm,4:39pm,4:43pm,4:45pm,4:48pm,4:50pm,4:53pm
11594,4:31pm,4:33pm,4:36pm,4:39pm,4:42pm,4:46pm,4:48pm,4:50pm,4:53pm,4:55pm
11595,4:34pm,4:36pm,4:39pm,4:42pm,4:45pm,4:49pm,4:51pm,4:53pm,4:56pm,4:58pm
11596,4:37pm,4:39pm,4:42pm,4:45pm,4:48pm,4:52pm,4:54pm,4:56pm,4:59pm,5:01pm
11597,4:39pm,4:42pm,4:45pm,4:47pm,4:51pm,4:55pm,4:57pm,4:59pm,5:02pm,5:04pm
11598,4:42pm,4:45pm,4:48pm,4:50pm,4:54pm,4:57pm,5:00pm,5:02pm,5:05pm,5:07pm
11599,4:45pm,4:48pm,4:51pm,4:53pm,4:57pm,5:00pm,5:02pm,5:05pm,5:07pm,5:10pm
11600,4:48pm,4:51pm,4:54pm,4:56pm,5:00pm,5:03pm,5:05pm,5:08pm,5:10pm,5:13pm
11601,4:51pm,4:54pm,4:56pm,4:59pm,5:02pm,5:06pm,5:08pm,5:11pm,5:13pm,5:16pm
11602,4:54pm,4:56pm,4:59pm,5:02pm,5:05pm,5:09pm,5:11pm,5:13pm,5:16pm,5:18pm
11603,4:57pm,4:59pm,5:02pm,5:05pm,5:08pm,5:12pm,5:14pm,5:16pm,5:19pm,5:21pm
11604,5:00pm,5:02pm,5:05pm,5:07pm,5:11pm,5:15pm,5:17pm,5:19pm,5:22pm,5:24pm
11605,5:02pm,5:05pm,5:08pm,5:10pm,5:14pm,5:17pm,5:20pm,5:22pm,5:25pm,5:27pm
11606,5:17pm,5:20pm,5:23pm,5:25pm,5:29pm,5:32pm,5:34pm,5:37pm,5:39pm,5:42pm
11607,5:32pm,5:35pm,5:37pm,5:40pm,5:43pm,5:47pm,5:49pm,5:52pm,5:54pm,5:57pm
11608,5:47pm,5:49pm,5:52pm,5:55pm,5:58pm,6:02pm,6:04pm,6:06pm,6:09pm,6:11pm
11609,6:02pm,6:04pm,6:07pm,6:10pm,6:13pm,6:17pm,6:19pm,6:21pm,6:24pm,6:26pm
11610,6:16pm,6:19pm,6:22pm,6:24pm,6:28pm,6:31pm,6:34pm,6:36pm,6:39pm,6:41pm
11611,6:31pm,6:34pm,6:37pm,6:39pm,6:43pm,6:46pm,6:48pm,6:51pm,6:53pm,6:56pm
11612,6:46pm,6:49pm,6:51pm,6:54pm,6:57pm,7:01pm,7:03pm,7:06pm,7:08pm,7:11pm
11613,7:01pm,7:03pm,7:06pm,7:09pm,7:12pm,7:16pm,7:18pm,7:20pm,7:23pm,7:25pm
11614,7:16pm,7:18pm,7:21pm,7:24pm,7:27pm,7:31pm,7:33pm,7:35pm,7:38pm,7:40pm
11615,7:30pm,7:33pm,7:36pm,7:38pm,7:42pm,7:45pm,7:48pm,7:50pm,7:53pm,7:55pm
11616,7:45pm,7:48pm,7:51pm,7:53pm,7:57pm,8:00pm,8:02pm,8:05pm,8:07pm,8:10pm
11617,8:00pm,8:03pm,8:05pm,8:08pm,8:11pm,8:15pm,8:17pm,8:20pm,8:22pm,8:25pm
11618,8:15pm,8:17pm,8:20pm,8:23pm,8:26pm,8:30pm,8:32pm,8:34pm,8:37pm,8:39pm
11619,8:30pm,8:32pm,8:35pm,8:38pm,8:41pm,8:45pm,8:47pm,8:49pm,8:52pm,8:54pm
11620,8:44pm,8:47pm,8:50pm,8:52pm,8:56pm,8:59pm,9:02pm,9:04pm,9:07pm,9:09pm
11621,8:59pm,9:02pm,9:05pm,9:07pm,9:11pm,9:14pm,9:16pm,9:19pm,9:21pm,9:24pm
11622,9:14pm,9:17pm,9:19pm,9:22pm,9:25pm,9:29pm,9:31pm,9:34pm,9:36pm,9:39pm
11623,9:17pm,9:19pm,9:22pm,9:25pm,9:28pm,9:32pm,9:34pm,9:36pm,9:39pm,9:41pm
11624,9:20pm,9:22pm,9:25pm,9:28pm,9:31pm,9:35pm,9:37pm,9:39pm,9:42pm,9:44pm
11625,9:23pm,9:25pm,9:28pm,9:31pm,9:34pm,9:38pm,9:40pm,9:42pm,9:45pm,9:47pm
11626,9:25pm,9:28pm,9:31pm,9:33pm,9:37pm,9:41pm,9:43pm,9:45pm,9:48pm,9:50pm
11627,9:28pm,9:31pm,9:34pm,9:36pm,9:40pm,9:43pm,9:46pm,9:48pm,9:51pm,9:53pm
11628,9:31pm,9:34pm,9:37pm,9:39pm,9:43pm,9:46pm,9:48pm,9:51pm,9:53pm,9:56pm
11629,9:34pm,9:37pm,9:40pm,9:42pm,9:46pm,9:49pm,9:51pm,9:54pm,9:56pm,9:59pm
11630,9:37pm,9:40pm,9:42pm,9:45pm,9:48pm,9:52pm,9:54pm,9:57pm,9:59pm,10:02pm
11631,9:40pm,9:42pm,9:45pm,9:48pm,9:51pm,9:55pm,9:57pm,9:59pm,10:02pm,10:04pm
11632,9:43pm,9:45pm,9:48pm,9:51pm,9:54pm,9:58pm,10:00pm,10:02pm,10:05pm,10:07pm
11633,9:46pm,9:48pm,9:51pm,9:53pm,9:57pm,10:01pm,10:03pm,10:05pm,10:08pm,10:10pm
11634,9:48pm,9:51pm,9:54pm,9:56pm,10:00pm,10:03pm,10:06pm,10:08pm,10:11pm,10:13pm
11635,9:51pm,9:54pm,9:57pm,9:59pm,10:03pm,10:06pm,10:08pm,10:11pm,10:14pm,10:16pm
11636,9:54pm,9:57pm,10:00pm,10:02pm,10:06pm,10:09pm,10:11pm,10:14pm,10:16pm,10:19pm
11637,9:57pm,10:00pm,10:02pm,10:05pm,10:08pm,10:12pm,10:14pm,10:17pm,10:19pm,10:22pm
11638,10:00pm,10:02pm,10:05pm,10:08pm,10:11pm,10:15pm,10:17pm,10:19pm,10:22pm,10:24pm
11639,10:03pm,10:05pm,10:08pm,10:11pm,10:14pm,10:18pm,10:20pm,10:22pm,10:25pm,10:27pm
11640,10:06pm,10:08pm,10:11pm,10:14pm,10:17pm,10:21pm,10:23pm,10:25pm,10:28pm,10:30pm
11641,10:08pm,10:11pm,10:14pm,10:16pm,10:20pm,10:24pm,10:26pm,10:28pm,10:31pm,10:33pm
11642,10:11pm,10:14pm,10:17pm,10:19pm,10:23pm,10:26pm,10:29pm,10:31pm,10:34pm,10:36pm
11643,10:14pm,10:17pm,10:20pm,10:22pm,10:26pm,10:29pm,10:31pm,10:34pm,10:36pm,10:39pm
11644,10:17pm,10:20pm,10:23pm,10:25pm,10:29pm,10:32pm,10:34pm,10:37pm,10:39pm,10:42pm
11645,10:20pm,10:23pm,10:25pm,10:28pm,10:31pm,10:35pm,10:37pm,10:40pm,10:42pm,10:45pm
11646,10:23pm,10:25pm,10:28pm,10:31pm,10:34pm,10:38pm,10:40pm,10:42pm,10:45pm,10:47pm
11647,10:26pm,10:28pm,10:31pm,10:34pm,10:37pm,10:41pm,10:43pm,10:45pm,10:48pm,10:50pm
11648,10:29pm,10:31pm,10:34pm,10:36pm,10:40pm,10:44pm,10:46pm,10:48pm,10:51pm,10:53pm
11649,10:31pm,10:34pm,10:37pm,10:39pm,10:43pm,10:46pm,10:49pm,10:51pm,10:54pm,10:56pm
11650,10:34pm,10:37pm,10:40pm,10:42pm,10:46pm,10:49pm,10:51pm,10:54pm,10:57pm,10:59pm
11651,10:37pm,10:40pm,10:43pm,10:45pm,10:49pm,10:52pm,10:54pm,10:57pm,10:59pm,11:02pm
11652,10:40pm,10:43pm,10:45pm,10:48pm,10:51pm,10:55pm,10:57pm,11:00pm,11:02pm,11:05pm
11653,10:43pm,10:45pm,10:48pm,10:51pm,10:54pm,10:58pm,11:00pm,11:02pm,11:05pm,11:07pm
11654,10:46pm,10:48pm,10:51pm,10:54pm,10:57pm,11:01pm,11:03pm,11:05pm,11:08pm,11:10pm
11655,10:49pm,10:51pm,10:54pm,10:57pm,11:00pm,11:04pm,11:06pm,11:08pm,11:11pm,11:13pm
11656,10:51pm,10:54pm,10:57pm,10:59pm,11:03pm,11:07pm,11:09pm,11:11pm,11:14pm,11:16pm
11657,10:54pm,10:57pm,11:00pm,11:02pm,11:06pm,11:09pm,11:12pm,11:14pm,11:17pm,11:19pm
11658,10:57pm,11:00pm,11:03pm,11:05pm,11:09pm,11:12pm,11:14pm,11:17pm,11:19pm,11:22pm
11659,11:00pm,11:03pm,11:06pm,11:08pm,11:12pm,11:15pm,11:17pm,11:20pm,11:22pm,11:25pm
11660,11:03pm,11:06pm,11:08pm,11:11pm,11:14pm,11:18pm,11:20pm,11:23pm,11:25pm,11:28pm
11661,11:06pm,11:08pm,11:11pm,11:14pm,11:17pm,11:21pm,11:23pm,11:25pm,11:28pm,11:30pm
11662,11:09pm,11:11pm,11:14pm,11:17pm,11:20pm,11:24pm,11:26pm,11:28pm,11:31pm,11:33pm
11663,11:12pm,11:14pm,11:17pm,11:19pm,11:23pm,11:27pm,11:29pm,11:31pm,11:34pm,11:36pm
11664,11:14pm,11:17pm,11:20pm,11:22pm,11:26pm,11:29pm,11:32pm,11:34pm,11:37pm,11:39pm
11665,11:17pm,11:20pm,11:23pm,11:25pm,11:29pm,11:32pm,11:34pm,11:37pm,11:40pm,11:42pm
11666,11:20pm,11:23pm,11:26pm,11:28pm,11:32pm,11:35pm,11:37pm,11:40pm,11:42pm,11:45pm
11667,11:23pm,11:26pm,11:28pm,11:31pm,11:34pm,11:38pm,11:40pm,11:43pm,11:45pm,11:48pm
11668,11:26pm,11:28pm,11:31pm,11:34pm,11:37pm,11:41pm,11:43pm,11:45pm,11:48pm,11:50pm
11669,11:29pm,11:31pm,11:34pm,11:37pm,11:40pm,11:44pm,11:46pm,11:48pm,11:51pm,11:53pm
11670,11:32pm,11:34pm,11:37pm,11:40pm,11:43pm,11:47pm,11:49pm,11:51pm,11:54pm,11:56pm
11671,11:34pm,11:37pm,11:40pm,11:42pm,11:46pm,11:50pm,11:52pm,11:54pm,11:57pm,11:59pm
11672,11:37pm,11:40pm,11:43pm,11:45pm,11:49pm,11:52pm,11:55pm,11:57pm,12:00am,12:02am
11673,11:40pm,11:43pm,11:46pm,11:48pm,11:52pm,11:55pm,11:57pm,12:00am,12:02am,12:05am
11674,11:43pm,11:46pm,11:49pm,11:51pm,11:55pm,11:58pm,12:00am,12:03am,12:05am,12:08am
11675,11:46pm,11:49pm,11:51pm,11:54pm,11:57pm,12:01am,12:03am,12:06am,12:08am,12:11am
11676,11:49pm,11:51pm,11:54pm,11:57pm,12:00am,12:04am,12:06am,12:08am,12:11am,12:13am
11677,11:52pm,11:54pm,11:57pm,12:00am,12:03am,12:07am,12:09am,12:11am,12:14am,12:16am
11678,11:55pm,11:57pm,12:00am,12:02am,12:06am,12:10am,12:12am,12:14am,12:17am,12:19am
11679,11:57pm,12:00am,12:03am,12:05am,12:09am,12:12am,12:15am,12:17am,12:20am,12:22am
